CollarSerialNumber,Year,Julianday,Hour,Latitude,Longitude,HDOP,NumSats,FixTime,2D/3D,Date
36092,15,313,15,45.49604,-93.24703,2,5,41,3,11/9/2015
36092,15,317,17,45.49591,-93.24748,0.9,9,41,3,11/13/2015
36092,15,317,18,45.49586,-93.24745,0.8,10,41,3,11/13/2015
36092,15,317,21,45.49589,-93.24751,1.1,8,41,3,11/13/2015
36092,15,317,23,45.4958,-93.24751,0.9,9,41,3,11/13/2015
36092,15,318,7,45.49586,-93.24755,0.9,8,41,3,11/14/2015
36092,15,321,17,45.4958,-93.24771,0.8,11,41,3,11/17/2015
36092,15,321,19,45.49582,-93.24774,0.8,10,41,3,11/17/2015
36092,15,321,21,45.49587,-93.24781,1.1,8,42,3,11/17/2015
36092,15,321,22,45.49584,-93.24768,0.8,9,41,3,11/17/2015
36092,15,321,23,45.4958,-93.24778,0.9,8,41,3,11/17/2015
36092,15,322,0,45.49585,-93.24778,1.1,8,41,3,11/18/2015
36092,15,322,2,45.4958,-93.24777,0.8,9,42,3,11/18/2015
36092,15,329,16,34.21896,-119.15491,1.4,8,41,3,11/25/2015
36092,15,329,18,34.22626,-119.17427,0.9,9,42,3,11/25/2015
36092,15,330,6,34.2262,-119.17427,1.1,7,41,3,11/26/2015
36092,15,330,19,34.22622,-119.17433,0.7,10,41,3,11/26/2015
36092,15,331,7,34.22623,-119.17427,1.1,7,42,3,11/27/2015
36092,15,331,20,34.2262,-119.17427,0.8,8,41,3,11/27/2015
36092,15,332,8,34.22623,-119.17427,0.7,12,41,3,11/28/2015
36092,15,332,21,34.22621,-119.17427,1.3,8,41,3,11/28/2015
36092,15,333,9,34.22623,-119.17427,0.8,10,41,3,11/29/2015
36092,15,333,22,34.22624,-119.17429,0.8,9,41,3,11/29/2015
36092,15,334,10,34.22623,-119.17425,1.1,8,42,3,11/30/2015
36092,15,334,23,34.22614,-119.17398,0.9,9,42,3,11/30/2015
36092,15,336,0,34.22616,-119.17421,0.9,10,41,3,12/2/2015
36092,15,344,8,34.13899,-118.71493,1.3,5,41,3,12/10/2015
36092,15,344,21,34.18168,-118.58261,1,7,41,3,12/10/2015
36092,15,345,9,34.18126,-118.58679,1.2,8,41,3,12/11/2015
36092,15,346,23,34.22604,-119.17414,1.1,9,41,3,12/12/2015
36092,15,350,2,34.15984,-118.70434,0.9,8,41,3,12/16/2015
36092,16,14,2,34.18172,-118.58288,1,7,41,3,1/14/2016
36092,16,14,14,34.18604,-118.88358,1.3,7,42,3,1/14/2016
36092,16,15,3,34.18173,-118.58265,1,7,41,3,1/15/2016
36092,16,15,15,34.18053,-118.5882,0.8,10,41,3,1/15/2016
36092,16,16,4,34.18709,-118.58271,1,8,41,3,1/16/2016
36092,16,16,17,34.18706,-118.58217,0.8,9,41,3,1/16/2016
36092,16,17,5,34.18692,-118.58218,0.7,11,41,3,1/17/2016
36092,16,17,18,34.17966,-118.57458,1.2,7,41,3,1/17/2016
36092,16,18,6,34.18593,-118.58456,1.3,6,42,3,1/18/2016
36092,16,19,7,34.18336,-118.58648,1.2,9,41,3,1/19/2016
36092,16,19,20,34.1821,-118.58133,1.2,6,41,3,1/19/2016
36092,16,20,21,34.18317,-118.58385,1.3,8,41,3,1/20/2016
36092,16,21,22,34.18217,-118.58605,1.5,6,41,3,1/21/2016
36092,16,22,10,34.177,-118.57412,1.3,7,42,3,1/22/2016
36092,16,26,2,34.1849,-118.58626,1,6,41,3,1/26/2016
36092,16,28,4,34.18508,-118.57979,1.1,7,87,3,1/28/2016
36092,16,28,17,34.18114,-118.5884,1.4,6,41,3,1/28/2016
36092,16,29,5,34.1859,-118.58382,1,8,41,3,1/29/2016
36092,16,29,18,34.17983,-118.57498,1.4,5,58,3,1/29/2016
36092,16,30,6,34.18153,-118.57521,0.9,10,41,3,1/30/2016
36092,16,30,19,34.18095,-118.57679,0.8,9,57,3,1/30/2016
36092,16,31,7,34.183,-118.58601,0.7,11,41,3,1/31/2016
36092,16,31,20,34.18729,-118.58631,1,9,42,3,1/31/2016
36092,16,33,22,34.1862,-118.58687,1,8,42,3,2/2/2016
36092,16,34,10,34.18093,-118.58847,1.5,4,41,3,2/3/2016
36092,16,34,23,34.18104,-118.57598,1.1,6,68,3,2/3/2016
36092,16,35,11,34.18055,-118.58816,1.1,7,41,3,2/4/2016
36092,16,36,0,34.18814,-118.57588,2.2,4,41,3,2/5/2016
36092,16,36,12,34.18061,-118.58816,2,5,41,3,2/5/2016
36092,16,37,1,34.18455,-118.57561,1.6,5,69,3,2/6/2016
36092,16,37,13,34.18063,-118.5882,1.8,6,41,3,2/6/2016
36092,16,39,3,34.18394,-118.58812,1.4,6,41,3,2/8/2016
36092,16,39,15,34.18051,-118.5882,1.2,6,42,3,2/8/2016
36092,16,39,16,34.18032,-118.58826,1.5,6,41,3,2/8/2016
36092,16,40,4,34.18428,-118.58219,1.3,6,42,3,2/9/2016
36092,16,40,17,34.18128,-118.58811,2.2,4,41,3,2/9/2016
36092,16,41,5,34.1818,-118.57502,1.1,8,41,3,2/10/2016
36092,16,41,18,34.18017,-118.58582,1.2,6,41,3,2/10/2016
36092,16,42,6,34.18099,-118.58191,3.5,5,49,3,2/11/2016
36092,16,42,19,34.18016,-118.58461,1.3,6,42,3,2/11/2016
36092,16,43,7,34.18101,-118.58818,1,8,41,3,2/12/2016
36092,16,43,20,34.1829,-118.58433,1.3,7,41,3,2/12/2016
36092,16,44,8,34.18704,-118.58216,0.9,9,41,3,2/13/2016
36092,16,44,21,34.18299,-118.58353,0.8,10,41,3,2/13/2016
36092,16,45,9,34.18082,-118.58802,0.8,9,41,3,2/14/2016
36092,16,45,22,34.1829,-118.57779,1.9,4,41,3,2/14/2016
36092,16,46,23,34.1806,-118.58809,1.7,5,63,3,2/15/2016
36092,16,47,11,34.1805,-118.58816,1.4,6,42,3,2/16/2016
36092,16,48,0,34.1791,-118.58694,2.2,4,65,3,2/17/2016
36092,16,48,12,34.1808,-118.58799,1.3,6,41,3,2/17/2016
36092,16,49,1,34.18296,-118.58499,2.5,5,41,3,2/18/2016
36092,16,49,13,34.18049,-118.58824,1.3,6,41,3,2/18/2016
36092,16,50,2,34.18716,-118.57899,1.1,7,41,3,2/19/2016
36092,16,52,4,34.1817,-118.57714,0.8,9,41,3,2/21/2016
36092,16,52,17,34.18075,-118.58807,0.9,8,41,3,2/21/2016
36092,16,53,5,34.18723,-118.58637,0.9,9,41,3,2/22/2016
36092,16,53,18,34.1812,-118.58801,1.2,6,41,3,2/22/2016
36092,16,54,6,34.18218,-118.58099,1.4,6,70,3,2/23/2016
36092,16,54,19,34.17956,-118.57834,1.1,8,41,3,2/23/2016
36092,16,55,7,34.18061,-118.58821,1.3,7,42,3,2/24/2016
36092,16,55,20,34.18325,-118.58325,0.9,8,41,3,2/24/2016
36092,16,56,21,34.18016,-118.57492,1.2,5,41,3,2/25/2016
36092,16,57,9,34.18058,-118.58834,1.2,7,41,3,2/26/2016
36092,16,57,22,34.18248,-118.58658,1.3,6,41,3,2/26/2016
36092,16,58,10,34.18065,-118.58803,1.7,5,41,3,2/27/2016
36092,16,58,23,34.18078,-118.58798,1.6,5,41,3,2/27/2016
36092,16,60,0,34.18352,-118.57878,1.9,5,58,3,2/29/2016
36092,16,61,1,34.18091,-118.57531,1.3,6,70,3,3/1/2016
36092,16,62,2,34.18236,-118.58483,1.2,6,41,3,3/2/2016
36092,16,62,14,34.18107,-118.58832,1.2,6,41,3,3/2/2016
36092,16,63,3,34.17482,-118.58557,1,8,41,3,3/3/2016
36092,16,64,4,34.18695,-118.58199,1.9,6,41,3,3/4/2016
36092,16,65,5,34.18193,-118.58078,0.8,8,87,3,3/5/2016
36092,16,65,18,34.18223,-118.58763,1.2,8,41,3,3/5/2016
36092,16,66,6,34.18645,-118.58759,1.4,6,41,3,3/6/2016
36092,16,66,19,34.18006,-118.57489,1.1,6,57,3,3/6/2016
36092,16,67,20,34.18336,-118.58389,0.8,9,41,3,3/7/2016
36092,16,68,8,34.18069,-118.58845,1.4,6,41,3,3/8/2016
36092,16,68,21,34.18323,-118.58839,1.2,6,41,3,3/8/2016
36092,16,69,9,34.18064,-118.5884,1.8,4,41,3,3/9/2016
36092,16,69,22,34.18069,-118.58805,1.2,7,41,3,3/9/2016
36092,16,70,23,34.17963,-118.57468,1.1,7,69,3,3/10/2016
36092,16,72,0,34.17967,-118.57466,1.3,6,99,3,3/12/2016
36092,16,72,12,34.18104,-118.58845,1.2,7,41,3,3/12/2016
36092,16,73,1,34.18753,-118.58035,0.8,9,63,3,3/13/2016
36092,16,73,13,34.17386,-118.58332,3.2,4,41,3,3/13/2016
36092,16,74,2,34.1828,-118.58326,0.8,10,41,3,3/14/2016
36092,16,75,3,34.182,-118.58301,0.9,10,41,3,3/15/2016
36092,16,76,4,34.18243,-118.58416,1.2,7,57,3,3/16/2016
36092,16,76,17,34.18096,-118.5885,2.1,4,64,3,3/16/2016
36092,16,77,5,34.18318,-118.58824,1.3,6,41,3,3/17/2016
36092,16,77,18,34.18017,-118.58518,1,8,42,3,3/17/2016
36092,16,79,20,34.18175,-118.58086,1.2,6,41,3,3/19/2016
36092,16,80,8,34.17975,-118.5866,1.8,5,41,3,3/20/2016
36092,16,80,21,34.1827,-118.58652,2,6,41,3,3/20/2016
36092,16,81,9,34.18074,-118.5882,1.1,7,62,3,3/21/2016
36092,16,81,22,34.18064,-118.58828,1,7,41,3,3/21/2016
36092,16,82,10,34.18103,-118.58841,0.9,8,41,3,3/22/2016
36092,16,82,23,34.1842,-118.58347,1.1,7,41,3,3/22/2016
36092,16,84,0,34.18046,-118.57783,1.1,7,42,3,3/24/2016
36092,16,85,1,34.17919,-118.57891,1,7,57,3,3/25/2016
36092,16,85,13,34.18096,-118.58793,1.6,5,42,3,3/25/2016
36092,16,86,2,34.18542,-118.58699,1.4,6,41,3,3/26/2016
36092,16,86,14,34.18105,-118.58831,1.1,7,41,3,3/26/2016
36092,16,87,3,34.18489,-118.58794,0.9,9,41,3,3/27/2016
36092,16,87,16,34.18076,-118.58801,0.9,9,41,3,3/27/2016
36092,16,88,17,34.18101,-118.58845,1.2,7,41,3,3/28/2016
