CollarSerialNumber,Year,Julianday,Hour,Latitude,Longitude,HDOP,NumSats,FixTime,2D/3D,Date
036092,15,313,15,+45.49604,-093.24703,02.0,05,041,3,2015-11-09
036092,15,317,17,+45.49591,-093.24748,00.9,09,041,3,2015-11-13
036092,15,317,18,+45.49586,-093.24745,00.8,10,041,3,2015-11-13
036092,15,317,21,+45.49589,-093.24751,01.1,08,041,3,2015-11-13
036092,15,317,23,+45.49580,-093.24751,00.9,09,041,3,2015-11-13
036092,15,318,07,+45.49586,-093.24755,00.9,08,041,3,2015-11-14
036092,15,321,17,+45.49580,-093.24771,00.8,11,041,3,2015-11-17
036092,15,321,19,+45.49582,-093.24774,00.8,10,041,3,2015-11-17
036092,15,321,21,+45.49587,-093.24781,01.1,08,042,3,2015-11-17
036092,15,321,22,+45.49584,-093.24768,00.8,09,041,3,2015-11-17
036092,15,321,23,+45.49580,-093.24778,00.9,08,041,3,2015-11-17
036092,15,322,00,+45.49585,-093.24778,01.1,08,041,3,2015-11-18
036092,15,322,02,+45.49580,-093.24777,00.8,09,042,3,2015-11-18
036092,15,329,16,+34.21896,-119.15491,01.4,08,041,3,2015-11-25
036092,15,329,18,+34.22626,-119.17427,00.9,09,042,3,2015-11-25
036092,15,330,06,+34.22620,-119.17427,01.1,07,041,3,2015-11-26
036092,15,330,19,+34.22622,-119.17433,00.7,10,041,3,2015-11-26
036092,15,331,07,+34.22623,-119.17427,01.1,07,042,3,2015-11-27
036092,15,331,20,+34.22620,-119.17427,00.8,08,041,3,2015-11-27
036092,15,332,08,+34.22623,-119.17427,00.7,12,041,3,2015-11-28
036092,15,332,21,+34.22621,-119.17427,01.3,08,041,3,2015-11-28
036092,15,333,09,+34.22623,-119.17427,00.8,10,041,3,2015-11-29
036092,15,333,22,+34.22624,-119.17429,00.8,09,041,3,2015-11-29
036092,15,334,10,+34.22623,-119.17425,01.1,08,042,3,2015-11-30
036092,15,334,23,+34.22614,-119.17398,00.9,09,042,3,2015-11-30
036092,15,336,00,+34.22616,-119.17421,00.9,10,041,3,2015-12-02
036092,15,344,08,+34.13899,-118.71493,01.3,05,041,3,2015-12-10
036092,15,344,21,+34.18168,-118.58261,01.0,07,041,3,2015-12-10
036092,15,345,09,+34.18126,-118.58679,01.2,08,041,3,2015-12-11
036092,15,346,23,+34.22604,-119.17414,01.1,09,041,3,2015-12-12
036092,15,350,02,+34.15984,-118.70434,00.9,08,041,3,2015-12-16
036092,16,014,02,+34.18172,-118.58288,01.0,07,041,3,2016-01-14
036092,16,014,14,+34.18604,-118.88358,01.3,07,042,3,2016-01-14
036092,16,015,03,+34.18173,-118.58265,01.0,07,041,3,2016-01-15
036092,16,015,15,+34.18053,-118.58820,00.8,10,041,3,2016-01-15
036092,16,016,04,+34.18709,-118.58271,01.0,08,041,3,2016-01-16
036092,16,016,17,+34.18706,-118.58217,00.8,09,041,3,2016-01-16
036092,16,017,05,+34.18692,-118.58218,00.7,11,041,3,2016-01-17
036092,16,017,18,+34.17966,-118.57458,01.2,07,041,3,2016-01-17
036092,16,018,06,+34.18593,-118.58456,01.3,06,042,3,2016-01-18
036092,16,019,07,+34.18336,-118.58648,01.2,09,041,3,2016-01-19
036092,16,019,20,+34.18210,-118.58133,01.2,06,041,3,2016-01-19
036092,16,020,21,+34.18317,-118.58385,01.3,08,041,3,2016-01-20
036092,16,021,22,+34.18217,-118.58605,01.5,06,041,3,2016-01-21
036092,16,022,10,+34.17700,-118.57412,01.3,07,042,3,2016-01-22
036092,16,026,02,+34.18490,-118.58626,01.0,06,041,3,2016-01-26
036092,16,028,04,+34.18508,-118.57979,01.1,07,087,3,2016-01-28
036092,16,028,17,+34.18114,-118.58840,01.4,06,041,3,2016-01-28
036092,16,029,05,+34.18590,-118.58382,01.0,08,041,3,2016-01-29
036092,16,029,18,+34.17983,-118.57498,01.4,05,058,3,2016-01-29
036092,16,030,06,+34.18153,-118.57521,00.9,10,041,3,2016-01-30
036092,16,030,19,+34.18095,-118.57679,00.8,09,057,3,2016-01-30
036092,16,031,07,+34.18300,-118.58601,00.7,11,041,3,2016-01-31
036092,16,031,20,+34.18729,-118.58631,01.0,09,042,3,2016-01-31
036092,16,033,22,+34.18620,-118.58687,01.0,08,042,3,2016-02-02
036092,16,034,10,+34.18093,-118.58847,01.5,04,041,3,2016-02-03
036092,16,034,23,+34.18104,-118.57598,01.1,06,068,3,2016-02-03
036092,16,035,11,+34.18055,-118.58816,01.1,07,041,3,2016-02-04
036092,16,036,00,+34.18814,-118.57588,02.2,04,041,3,2016-02-05
036092,16,036,12,+34.18061,-118.58816,02.0,05,041,3,2016-02-05
036092,16,037,01,+34.18455,-118.57561,01.6,05,069,3,2016-02-06
036092,16,037,13,+34.18063,-118.58820,01.8,06,041,3,2016-02-06
036092,16,039,03,+34.18394,-118.58812,01.4,06,041,3,2016-02-08
036092,16,039,15,+34.18051,-118.58820,01.2,06,042,3,2016-02-08
036092,16,039,16,+34.18032,-118.58826,01.5,06,041,3,2016-02-08
036092,16,040,04,+34.18428,-118.58219,01.3,06,042,3,2016-02-09
036092,16,040,17,+34.18128,-118.58811,02.2,04,041,3,2016-02-09
036092,16,041,05,+34.18180,-118.57502,01.1,08,041,3,2016-02-10
036092,16,041,18,+34.18017,-118.58582,01.2,06,041,3,2016-02-10
036092,16,042,06,+34.18099,-118.58191,03.5,05,049,3,2016-02-11
036092,16,042,19,+34.18016,-118.58461,01.3,06,042,3,2016-02-11
036092,16,043,07,+34.18101,-118.58818,01.0,08,041,3,2016-02-12
036092,16,043,20,+34.18290,-118.58433,01.3,07,041,3,2016-02-12
036092,16,044,08,+34.18704,-118.58216,00.9,09,041,3,2016-02-13
036092,16,044,21,+34.18299,-118.58353,00.8,10,041,3,2016-02-13
036092,16,045,09,+34.18082,-118.58802,00.8,09,041,3,2016-02-14
036092,16,045,22,+34.18290,-118.57779,01.9,04,041,3,2016-02-14
036092,16,046,23,+34.18060,-118.58809,01.7,05,063,3,2016-02-15
036092,16,047,11,+34.18050,-118.58816,01.4,06,042,3,2016-02-16
036092,16,048,00,+34.17910,-118.58694,02.2,04,065,3,2016-02-17
036092,16,048,12,+34.18080,-118.58799,01.3,06,041,3,2016-02-17
036092,16,049,01,+34.18296,-118.58499,02.5,05,041,3,2016-02-18
036092,16,049,13,+34.18049,-118.58824,01.3,06,041,3,2016-02-18
036092,16,050,02,+34.18716,-118.57899,01.1,07,041,3,2016-02-19
036092,16,052,04,+34.18170,-118.57714,00.8,09,041,3,2016-02-21
036092,16,052,17,+34.18075,-118.58807,00.9,08,041,3,2016-02-21
036092,16,053,05,+34.18723,-118.58637,00.9,09,041,3,2016-02-22
036092,16,053,18,+34.18120,-118.58801,01.2,06,041,3,2016-02-22
036092,16,054,06,+34.18218,-118.58099,01.4,06,070,3,2016-02-23
036092,16,054,19,+34.17956,-118.57834,01.1,08,041,3,2016-02-23
036092,16,055,07,+34.18061,-118.58821,01.3,07,042,3,2016-02-24
036092,16,055,20,+34.18325,-118.58325,00.9,08,041,3,2016-02-24
036092,16,056,21,+34.18016,-118.57492,01.2,05,041,3,2016-02-25
036092,16,057,09,+34.18058,-118.58834,01.2,07,041,3,2016-02-26
036092,16,057,22,+34.18248,-118.58658,01.3,06,041,3,2016-02-26
036092,16,058,10,+34.18065,-118.58803,01.7,05,041,3,2016-02-27
036092,16,058,23,+34.18078,-118.58798,01.6,05,041,3,2016-02-27
036092,16,060,00,+34.18352,-118.57878,01.9,05,058,3,2016-02-29
036092,16,061,01,+34.18091,-118.57531,01.3,06,070,3,2016-03-01
036092,16,062,02,+34.18236,-118.58483,01.2,06,041,3,2016-03-02
