GpsNumber,GpsDescription,GPSTime,Year,Month,Day,Hour,Minute,BatteryVoltage,GSMSignal,Activity,Temperature,lat,lon,Type,LandCover,DownDate,Direction_Abs,StepLength,Direction_Rel,Speed,Interval,Class
48536493417,coyo08,12/16/2021 20:40,2021,12,16,20,40,4.13,22,0,22,34.226182,-119.174282,GSM,Urban,12/17/2021,45,4.902879407,180,2.941727644,6,6
48536493417,coyo08,12/16/2021 20:40,2021,12,16,20,40,4.13,22,0,22,34.226216,-119.174316,GSM,Urban,12/17/2021,90,1.474226713,45,0.884536028,6,6
48536493417,coyo08,12/16/2021 20:40,2021,12,16,20,40,4.13,22,0,22,34.226216,-119.174332,GSM,Urban,12/17/2021,0,1.77482366,-90,0.000531031,6,6
48536493417,coyo08,12/17/2021 0:01,2021,12,17,0,1,4.14,21,0,7,34.226232,-119.174332,GSM,Urban,12/18/2021,-116.5650512,7.09793028,-116.5650512,0.001185953,12032,6
48536493417,coyo08,12/17/2021 6:00,2021,12,17,6,0,4.14,21,0,4,34.226199,-119.174266,GSM,Urban,12/18/2021,63.26288994,14.33208537,179.8279411,0.002385919,21546,5
48536493417,coyo08,12/17/2021 12:00,2021,12,17,12,0,4.14,21,0,0,34.226266,-119.174399,GSM,Urban,12/18/2021,-27.25532838,3.981620147,-90.51821832,0.000664372,21625,6
48536493417,coyo08,12/17/2021 18:00,2021,12,17,18,0,4.14,21,0,5,34.226299,-119.174382,GSM,Urban,12/18/2021,-137.3345064,30.31502121,-110.0791781,0.005039904,21575,6
48536493417,coyo08,12/18/2021 0:01,2021,12,18,0,1,4.16,20,0,8,34.226082,-119.174182,GSM,Urban,12/19/2021,-57.72435569,15.39464764,79.61015075,0.002573161,21654,6
48536493417,coyo08,12/18/2021 6:00,2021,12,18,6,0,4.16,20,0,-1,34.226166,-119.174049,GSM,Urban,12/19/2021,79.98047096,26.65872864,137.7048266,0.004440449,21538,3
48536493417,coyo08,12/18/2021 12:00,2021,12,18,12,0,4.16,20,0,1,34.226216,-119.174332,GSM,Urban,12/19/2021,21.38754198,44.67636496,-58.59292898,0.007453307,21613,6
48536493417,coyo08,12/18/2021 18:00,2021,12,18,18,0,4.16,20,0,8,34.226599,-119.174482,GSM,Urban,12/19/2021,-159.0245838,50.40766001,179.5878742,0.008387298,21579,4
48536493417,coyo08,12/19/2021 0:00,2021,12,19,0,0,4.13,20,0,12,34.226166,-119.174316,GSM,Urban,12/20/2021,0,3.660573774,159.0245838,0.000610661,21636,6
48536493417,coyo08,12/19/2021 6:00,2021,12,19,6,0,4.13,20,0,2,34.226199,-119.174316,GSM,Urban,12/20/2021,-153.0872101,134.4684879,-153.0872101,0.022420757,21580,3
48536493417,coyo08,12/19/2021 12:00,2021,12,19,12,0,4.13,20,0,2,34.225082,-119.173749,GSM,Urban,12/20/2021,119.999805,132.746187,-86.91298495,0.022131537,21591,4
48536493417,coyo08,12/19/2021 18:00,2021,12,19,18,0,4.13,20,0,6,34.224399,-119.174932,GSM,Urban,12/20/2021,-26.7831487,214.4630984,-146.7829537,0.035666243,21593,4
48536493417,coyo08,12/20/2021 0:01,2021,12,20,0,1,4.14,20,0,7,34.226182,-119.174032,GSM,Urban,12/21/2021,54.63040615,62.66164212,81.41355486,0.010464924,21647,6
48536493417,coyo08,12/20/2021 6:00,2021,12,20,6,0,4.14,20,0,-1,34.226549,-119.174549,GSM,Urban,12/21/2021,-146.3099325,57.05929344,159.0596614,0.009503722,21556,4
48536493417,coyo08,12/20/2021 12:00,2021,12,20,12,0,4.14,20,0,-2,34.226099,-119.174249,GSM,Urban,12/21/2021,0,14.75322153,146.3099325,0.002458984,21614,2
48536493417,coyo08,12/20/2021 18:00,2021,12,20,18,0,4.14,20,0,4,34.226232,-119.174249,GSM,Urban,12/21/2021,165.5559643,7.48683543,165.5559643,0.001244694,21599,3
48536493417,coyo08,12/21/2021 0:01,2021,12,21,0,1,4.16,21,0,7,34.226166,-119.174266,GSM,Urban,12/22/2021,38.49104356,11.03393793,-127.0649207,0.001843599,21654,6
48536493417,coyo08,12/21/2021 6:00,2021,12,21,6,0,4.16,21,0,1,34.226249,-119.174332,GSM,Urban,12/22/2021,-148.0333563,16.61753984,173.4756001,0.002769462,21546,3
48536493417,coyo08,12/21/2021 12:00,2021,12,21,12,0,4.16,21,0,1,34.226116,-119.174249,GSM,Urban,12/22/2021,-11.57518882,9.339189983,136.4581675,0.001556604,21601,2
48536493417,coyo08,12/21/2021 18:00,2021,12,21,18,0,4.16,21,0,11,34.226199,-119.174232,GSM,Urban,12/22/2021,108.7780332,4.97796472,120.353222,0.000827592,21599,6
48536493417,coyo08,12/22/2021 0:01,2021,12,22,0,1,4.17,21,0,9,34.226182,-119.174282,GSM,Urban,12/23/2021,103.4310289,6.42339244,-5.347004349,0.001073249,21654,6
48536493417,coyo08,12/22/2021 6:00,2021,12,22,6,0,4.17,21,0,0,34.226166,-119.174349,GSM,Urban,12/23/2021,-110.6032411,13.45120734,145.9657301,0.002241764,21546,3
48536493417,coyo08,12/22/2021 12:00,2021,12,22,12,0,4.17,21,0,2,34.226116,-119.174216,GSM,Urban,12/23/2021,28.9572176,18.31230329,139.5604587,0.003047958,21601,5
48536493417,coyo08,12/22/2021 18:01,2021,12,22,18,1,4.17,21,0,11,34.226266,-119.174299,GSM,Urban,12/23/2021,165.7627195,7.59534241,136.8055019,0.001266477,21629,3
48536493417,coyo08,12/23/2021 0:00,2021,12,23,0,0,4.12,22,0,14,34.226199,-119.174316,GSM,Urban,12/24/2021,90,3.040593206,-75.76271953,0.000507847,21590,6
48536493417,coyo08,12/23/2021 6:00,2021,12,23,6,0,4.12,22,0,5,34.226199,-119.174349,GSM,Urban,12/24/2021,-63.43494882,10.75443903,-153.4349488,0.001792489,21554,3
48536493417,coyo08,12/23/2021 12:00,2021,12,23,12,0,4.12,22,0,4,34.226249,-119.174249,GSM,Urban,12/24/2021,-71.22196678,4.977961352,-7.787017956,0.000829545,21599,6
48536493417,coyo08,12/23/2021 18:00,2021,12,23,18,0,4.12,22,0,5,34.226266,-119.174199,GSM,Urban,12/24/2021,-80.57484664,46.98051744,-9.352879857,0.007812725,21603,6
48536493417,coyo08,12/24/2021 0:00,2021,12,24,0,0,4.12,20,0,6,34.226349,-119.173699,GSM,Urban,12/25/2021,108.461389,64.54673036,-170.9637644,0.010769256,21648,4
48536493417,coyo08,12/24/2021 6:00,2021,12,24,6,0,4.12,20,0,5,34.226132,-119.174349,GSM,Urban,12/25/2021,-33.82208522,12.6947548,-142.2834742,0.00211589,21577,5
48536493417,coyo08,12/24/2021 12:00,2021,12,24,12,0,4.12,20,0,5,34.226232,-119.174282,GSM,Urban,12/25/2021,67.96377306,8.609702249,101.7858583,0.00143495,21599,6
48536493417,coyo08,12/24/2021 18:00,2021,12,24,18,0,4.12,20,0,8,34.226266,-119.174366,GSM,Urban,12/25/2021,-108.7780332,4.977961352,-176.7418063,0.000827591,21600,3
48536493417,coyo08,12/25/2021 0:01,2021,12,25,0,1,4.13,20,0,9,34.226249,-119.174316,GSM,Urban,12/26/2021,-114.2795147,19.29227359,-5.501481479,0.003226582,21654,6
48536493417,coyo08,12/25/2021 6:00,2021,12,25,6,0,4.13,20,0,5,34.226166,-119.174132,GSM,Urban,12/26/2021,33.82208522,12.69475365,148.1015999,0.002113737,21525,5
48536493417,coyo08,12/25/2021 12:00,2021,12,25,12,0,4.13,20,0,4,34.226266,-119.174199,GSM,Urban,12/26/2021,108.7780332,9.95592356,74.955948,0.001659321,21621,6
48536493417,coyo08,12/26/2021 0:01,2021,12,26,0,1,4.14,20,2.31E-05,7,34.226232,-119.174299,GSM,Urban,12/27/2021,180,1.77482366,-90,0.000296545,43254,6
