GpsNumber,GpsDescription,GPSTime,SMSTime,Year,Month,Day,Hour,Minute,BatteryVoltage,GSMSignal,Activity,Temperature,lat,lon,Type,LandCover,DownDate,Direction_Abs,StepLength,Direction_Rel,Speed,Interval,Class
48570881575,coyo09,3/3/2022 14:00,3/4/2022 1:09,2022,3,3,14,0,4.14,,,,34.15135,-118.73365,GPRS,Cropland,3/4/2022,115.3621669,272.4727426,-141.6729764,0.268005976,3600,4
48570881575,coyo09,3/3/2022 15:01,3/4/2022 1:09,2022,3,3,15,1,4.14,,,,34.15013333,-118.7362167,GPRS,Cropland,3/4/2022,33.69006752,19.02359637,-81.67209942,0.019023596,3660,6
48570881575,coyo09,3/3/2022 16:01,3/4/2022 1:09,2022,3,3,16,1,4.15,,,,34.15028333,-118.7363167,GPRS,Cropland,3/4/2022,-90,29.20356208,-123.6900675,0.028724815,3600,4
48570881575,coyo09,3/3/2022 17:02,3/4/2022 1:09,2022,3,3,17,2,4.15,,,,34.15028333,-118.736,GPRS,Cropland,3/4/2022,95.71059314,30.96216845,-174.2894069,0.032029829,3660,4
48570881575,coyo09,3/3/2022 18:00,3/4/2022 1:09,2022,3,3,18,0,4.15,,,,34.15025,-118.7363333,GPRS,Cropland,3/4/2022,-90,0.030740572,174.2894069,0.005824529,3480,3
48570881575,coyo09,3/3/2022 18:00,3/4/2022 1:02,2022,3,3,18,0,4.16,10,17.31578947,28,34.15025,-118.736333,GSM,Cropland,3/4/2022,-105.9887525,11.34776011,-15.98875255,0.011219977,19,3
48570881575,coyo09,3/3/2022 19:01,3/4/2022 1:09,2022,3,3,19,1,4.15,,,,34.15021667,-118.7362167,GPRS,Cropland,3/4/2022,-122.9574249,177.3737199,-16.96867231,0.17737372,3641,8
48570881575,coyo09,3/3/2022 20:01,3/4/2022 1:09,2022,3,3,20,1,4.15,,,,34.14923333,-118.7347,GPRS,Urban,3/4/2022,-53.97262655,22.46349737,68.9847983,0.022095243,3600,9
48570881575,coyo09,3/3/2022 21:02,3/4/2022 1:09,2022,3,3,21,2,4.15,,,,34.14936667,-118.7345167,GPRS,Urban,3/4/2022,135,7.212735144,-171.0273734,0.007212735,3660,3
48570881575,coyo09,3/3/2022 22:02,3/4/2022 1:09,2022,3,3,22,2,4.15,,,,34.14931667,-118.7345667,GPRS,Urban,3/4/2022,122.0053833,15.38337004,-12.99461671,0.015131184,3600,3
48570881575,coyo09,3/3/2022 23:03,3/4/2022 1:09,2022,3,3,23,3,4.17,,,,34.14923333,-118.7347,GPRS,Urban,3/4/2022,-65.13630342,72.14730755,172.8583133,0.075944534,3660,4
48570881575,coyo09,3/4/2022 0:00,3/4/2022 1:09,2022,3,4,0,0,4.17,,,,34.14955,-118.7340167,GPRS,Urban,3/4/2022,-146.3099189,0.126824212,-81.17361553,0.01170685,3420,3
48570881575,coyo09,3/4/2022 0:00,3/4/2022 1:02,2022,3,4,0,0,4.16,10,8.435897436,43,34.149549,-118.734016,GSM,Urban,3/4/2022,168.6786061,468.4345836,-45.01147498,0.41120812,39,8
48570881575,coyo09,3/4/2022 1:09,3/5/2022 1:09,2022,3,4,1,9,4.15,,,,34.14538333,-118.73485,GPRS,Urban,3/5/2022,33.69006766,12.68255774,-134.9885384,0.012474647,4101,4
48570881575,coyo09,3/4/2022 2:10,3/5/2022 1:09,2022,3,4,2,10,4.16,,,,34.14548333,-118.7349167,GPRS,Urban,3/5/2022,58.07912376,117.1625282,24.3890561,0.117162528,3660,9
